property_id,yardi_property_code,greystar_property_name,greystar_property_status,greystar_zip,greystar_city,greystar_state,greystar_lat,greystar_long,greystar_address,realpage_propertyid,realpage_property_name,realpage_zip,realpage_city,realpage_state,realpage_lat,realpage_long,realpage_address,realpage_compnumberone,realpage_compnumbertwo,realpage_compnumberthree,realpage_compnumberfour,realpage_compnumberfive,realpage_compnumbersix,realpage_compnumberseven,realpage_compnumbereight,realpage_compnumbernine,realpage_compnumberten,name_distance,match_type,distance_meters,google_lat,google_lon,geocoding_location_type,google_formatted_address,google_place_id,rp_google_place_id,realpage_reuse_count,is_realpage_reused,match_rank_within_realpage,combined_source
26485,cotangen,Tangent,Active,80237,Denver,CO,null,null,4300 S. Monaco St,91120,Tangent,80237,Denver,CO,39.6376804,-104.9118557,4300 S Monaco St,78975,10301920,88945,15614,46898,18797,52674,10255011,4474,5675,0,exact_name_zip,null,39.6375089,-104.9117031,ROOFTOP,"4300 S Monaco St, Denver, CO 80237, USA",ChIJUU5FZReHbIcRz_tOFhHfBYU,null,1,false,1,v2_new
100087487,txsonora,Sonora,Active,78736,Austin,TX,null,null,8350 W US HWY 290,10308503,Sonora,78736,Austin,TX,30.233305,-97.9027422,8350 W Hwy 290,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,30.2364737,-97.8384521,GEOMETRIC_CENTER,"W US Hwy290, Austin, TX 78735, USA",ChIJNRnN5K9LW4YRBmHSdA4bsgM,null,1,false,1,v2_new
25524,txmonbuf,Montrose at Buffalo Bayou,Active,77019,Houston,TX,29.7543423,-95.3950372,1320 Montrose Blvd,59077,The Montrose at Buffalo Bayou,77019,Houston,TX,29.754471,-95.392471,1320 Montrose Blvd,79982,10256404,56007,35253,10257097,10264764,55358,54246,58615,10253278,4,normalized_name_zip,null,29.7544726,-95.3924927,ROOFTOP,"1320 Montrose Blvd, Houston, TX 77019, USA",ChIJme29NF-_QIYRytRSxH1IVJE,null,1,false,1,v2_new
23104,nvelysun,Envision at Sunset,Active,89113,Las Vegas,NV,null,null,8150 Rafael Rivera Way,10263600,Envision at Sunset,89113,Las Vegas,NV,36.0678121,-115.2687533,8150 Rafael Rivera Wy,10267375,10261919,66523,10263662,10306873,10274335,17273,10260964,55897,87519,0,exact_name_zip,null,36.0678324,-115.2688353,ROOFTOP,"8150 Rafael Rivera Wy, Las Vegas, NV 89113, USA",ChIJmfOhB5HHyIARwV-PYW3jSAI,null,1,false,1,v2_new
100051851,camartem,Marlowe Temecula,Active,92590,Temecula,CA,null,null,41461 Buecking Drive,10302069,Marlowe Temecula,92590,Temecula,CA,33.527276,-117.168517,41461 Buecking Dr,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,33.5257516,-117.1702166,RANGE_INTERPOLATED,"41461 Buecking Dr, Temecula, CA 92590, USA",Eio0MTQ2MSBCdWVja2luZyBEciwgVGVtZWN1bGEsIENBIDkyNTkwLCBVU0EiMhIwChQKEgmH_hNzH37bgBFBNZxtWw0Y_RD1wwIqFAoSCb9b5hUfftuAEXW_47VqL8pq,null,1,false,1,v2_new
2609,txcresce,Crescent,Active,78704,Austin,TX,null,null,127 E. Riverside Dr.,19965,Crescent,78704,Austin,TX,30.2557024,-97.7460358,127 E Riverside Dr,48136,53901,19625,37272,66089,35677,19869,10269396,19639,10267877,0,exact_name_zip,null,null,null,null,null,null,ChIJBygJnwG1RIYRneUWQSFf6D8,1,false,1,v2_new
19694,utcalyps,Calypso,Active,84045,Saratoga Springs,UT,null,null,1316 W. Calypso Lane,10307131,Calypso,84045,Saratoga Springs,UT,40.3949732,-111.9499178,1316 W Calypso Ln,null,null,null,null,null,null,null,null,null,null,0,exact_name_zip,null,40.3950448,-111.9496536,ROOFTOP,"1316 Calypso Ln, Saratoga Springs, UT 84045, USA",ChIJpZBzVAp-TYcRyjrQHRvh5xI,null,1,false,1,v2_new
100120105,txurbhou,Urban House,Active,75203,Dallas,TX,32.761341,-96.8187866,14090 North Zang Blvd,15559,Urban House Apartments,75203,Dallas,TX,32.7609357,-96.8181274,1409 N Zang Blvd,8626,56480,49955,52589,68413,35927,37489,53541,14391,42271,11,normalized_name_zip,null,32.7593766,-96.8193734,GEOMETRIC_CENTER,"N Zang Blvd, Dallas, TX 75203, USA",EiJOIFphbmcgQmx2ZCwgRGFsbGFzLCBUWCA3NTIwMywgVVNBIi4qLAoUChIJ_ebhHpyZToYR4swk93x1hVsSFAoSCQchhDkzmE6GEd4XhnPd3goI,ChIJsXftPHeZToYRTEE91A-BOzY,1,false,1,v2_new
1191442,flltdcha,The Ridge at Champions,Active,33896,Davenport,FL,null,null,1311 Elan Dr.,10270515,The Ridge Champions,33896,Davenport,FL,28.25413,-81.65314,1311 Elan Dr,10285447,10255979,64761,10256635,10268843,10263176,10259923,10261735,10281407,10299587,3,normalized_name_zip,null,null,null,null,null,null,ChIJ7wa5mIx63YgR6V8o8SQz6Io,1,false,1,v2_new
1465,cosoumai,South Main Station,Active,80501,Longmont,CO,null,null,485 2nd Ave,55996,South Main Station I,80501,Longmont,CO,40.161617,-105.1009836,485 2nd Ave,10263942,47162,10256477,10253825,42467,78972,10265311,14968,10252741,5630,2,exact_address_zip,null,null,null,null,null,null,ChIJPfcMxKH5a4cRPWCkqw3wNV0,1,false,1,v2_new
